regime_id,n_bars,start,end,duration_days,avg_return,cum_return
201,5,2021-12-23 00:00:00+00:00,2021-12-27 00:00:00+00:00,5,-0.012607500406249672,-0.06292643391079267
202,38,2021-12-28 00:00:00+00:00,2022-02-03 00:00:00+00:00,38,-0.003065948273159921,-0.12792849585564692
203,13,2022-02-04 00:00:00+00:00,2022-02-16 00:00:00+00:00,13,-0.0013615414859128915,-0.023201194769845834
204,11,2022-02-17 00:00:00+00:00,2022-02-27 00:00:00+00:00,11,0.006989193836253586,0.06549951514640195
205,4,2022-02-28 00:00:00+00:00,2022-03-03 00:00:00+00:00,4,-0.023601739882916778,-0.09389503864378757
206,5,2022-03-04 00:00:00+00:00,2022-03-08 00:00:00+00:00,5,0.014808328925912995,0.07270067658722046
207,7,2022-03-09 00:00:00+00:00,2022-03-15 00:00:00+00:00,7,-0.0022265472342850113,-0.019984312671840865
208,21,2022-03-16 00:00:00+00:00,2022-04-05 00:00:00+00:00,21,0.0025803430698680065,0.050136435678361124
209,54,2022-04-06 00:00:00+00:00,2022-05-29 00:00:00+00:00,54,-0.005080417477915388,-0.2657073873196637
210,2,2022-05-30 00:00:00+00:00,2022-05-31 00:00:00+00:00,2,-0.0303087921842623,-0.060747850606387765
211,5,2022-06-01 00:00:00+00:00,2022-06-05 00:00:00+00:00,5,0.010627113159858181,0.052739547663887665
212,2,2022-06-06 00:00:00+00:00,2022-06-07 00:00:00+00:00,2,-0.018533399010009,-0.036859588909003205
213,29,2022-06-08 00:00:00+00:00,2022-07-06 00:00:00+00:00,29,-0.010346490192355435,-0.2838640302160961
214,3,2022-07-07 00:00:00+00:00,2022-07-09 00:00:00+00:00,3,-0.011986548475743986,-0.03591619953978231
215,6,2022-07-10 00:00:00+00:00,2022-07-15 00:00:00+00:00,6,0.003094605666143372,0.015813177568076986
216,2,2022-07-16 00:00:00+00:00,2022-07-17 00:00:00+00:00,2,0.031361458924079655,0.061130270802894904
217,7,2022-07-18 00:00:00+00:00,2022-07-24 00:00:00+00:00,7,-0.006944751560629332,-0.04998690278127993
218,2,2022-07-25 00:00:00+00:00,2022-07-26 00:00:00+00:00,2,0.03694832072004173,0.07344218858985951
219,21,2022-07-27 00:00:00+00:00,2022-08-16 00:00:00+00:00,21,0.000998521436483628,0.017681651770236506
220,23,2022-08-17 00:00:00+00:00,2022-09-08 00:00:00+00:00,23,-0.0031083517775314807,-0.08376971203291039
221,4,2022-09-09 00:00:00+00:00,2022-09-12 00:00:00+00:00,4,-0.011747208361296807,-0.05071944212542401
222,20,2022-09-13 00:00:00+00:00,2022-10-02 00:00:00+00:00,20,-0.0014750531858795045,-0.033164488234792566
223,4,2022-10-03 00:00:00+00:00,2022-10-06 00:00:00+00:00,4,-0.0007425879669799573,-0.003910091838492558
224,10,2022-10-07 00:00:00+00:00,2022-10-16 00:00:00+00:00,10,6.755699336006283e-05,0.0002000322302571078
225,6,2022-10-17 00:00:00+00:00,2022-10-22 00:00:00+00:00,6,0.00019118874603392863,0.0008311697345781965
226,2,2022-10-23 00:00:00+00:00,2022-10-24 00:00:00+00:00,2,0.013733274288454611,0.027027634779151377
227,14,2022-10-25 00:00:00+00:00,2022-11-07 00:00:00+00:00,14,-0.005187661585543798,-0.07735871965668539
228,22,2022-11-08 00:00:00+00:00,2022-11-29 00:00:00+00:00,22,-0.002555326614399243,-0.0740348422734799
229,2,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,2,-0.0022851976372417204,-0.004654435401434065
230,2,2022-12-02 00:00:00+00:00,2022-12-03 00:00:00+00:00,2,0.0012932999673863632,0.0024478221229753405
231,2,2022-12-04 00:00:00+00:00,2022-12-05 00:00:00+00:00,2,-0.0011657130250110614,-0.0023928095460201693
232,2,2022-12-06 00:00:00+00:00,2022-12-07 00:00:00+00:00,2,0.0043737518718132695,0.008424471166505798
